District Name,District Code,Block Name,Block Code,Cluster Code,School Name,UDISE Code,School Management,School Category,PP3(Boys),PP3(Girls),PP3(Trans),PP3(Total),PP2(Boys),PP2(Girls),PP2(Trans),PP2(Total),PP1(Boys),PP1(Girls),PP1(Trans),PP1(Total),Class 1(Boys),Class 1(Girls),Class 1(Trans),Class 1(Total),Class 2(Boys),Class 2(Girls),Class 2(Trans),Class 2(Total),Class 3(Boys),Class 3(Girls),Class 3(Trans),Class 3(Total),Class 4(Boys),Class 4(Girls),Class 4(Trans),Class 4(Total),Class 5(Boys),Class 5(Girls),Class 5(Trans),Class 5(Total),Class 6(Boys),Class 6(Girls),Class 6(Trans),Class 6(Total),Class 7(Boys),Class 7(Girls),Class 7(Trans),Class 7(Total),Class 8(Boys),Class 8(Girls),Class 8(Trans),Class 8(Total),Class 9(Boys),Class 9(Girls),Class 9(Trans),Class 9(Total),Class 10(Boys),Class 10(Girls),Class 10(Trans),Class 10(Total),Class 11(Boys),Class 11(Girls),Class 11(Trans),Class 11(Total),Class 12(Boys),Class 12(Girls),Class 12(Trans),Class 12(Total),Total Boys,Total Girls,Total Trans,Grand Total
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922530,KANSHKULI F.P. SCHOOL,19260205502,1,1,0,0,0,0,0,0,0,0,8,3,0,11,10,6,0,16,4,11,0,15,9,7,0,16,12,13,0,25,13,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,47,0,103
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920815,KANTAPAHARI F.P. SCHOOL,19260201901,1,1,0,0,0,0,0,0,0,0,15,6,0,21,6,12,0,18,8,11,0,19,6,4,0,10,6,8,0,14,5,16,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,57,0,103
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920815,KAPISTA F.P. SCHOOL,19260202102,1,1,0,0,0,0,0,0,0,0,5,8,0,13,11,4,0,15,6,5,0,11,10,7,0,17,9,7,0,16,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,33,0,75
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920815,KAPISTA KORAPARA SSK,19260202103,12,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,3,0,3,0,1,0,1,4,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,17
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920784,KASHIDANGA F.P. SCHOOL,19260203801,1,1,0,0,0,0,0,0,0,0,9,10,0,19,10,16,0,26,10,8,0,18,12,9,0,21,12,12,0,24,14,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,62,0,129
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920835,KATANDANGA SSK,19260206602,12,1,0,0,0,0,0,0,0,0,2,3,0,5,3,10,0,13,3,5,0,8,2,2,0,4,3,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,0,39
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920835,KELEJORA BAURIPARA SSK,19260206401,12,1,0,0,0,0,0,0,0,0,4,1,0,5,5,5,0,10,4,0,0,4,8,2,0,10,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,35
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920835,KELEJORA F.P. SCHOOL,19260206501,1,1,0,0,0,0,0,0,0,0,10,21,0,31,6,3,0,9,12,15,0,27,13,13,0,26,18,10,0,28,10,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,77,0,146
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922531,KENJIA F.P. SCHOOL,19260207401,1,1,0,0,0,0,0,0,0,0,3,3,0,6,4,3,0,7,4,2,0,6,4,3,0,7,3,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,34
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920815,KHORABAR F.P. SCHOOL,19260201601,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,22,10,18,0,28,11,16,0,27,16,13,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,51,0,106
